agency,title,description,formats,link,
Land Information New Zealand,Auckland 0.075m Urban Aerial Photos Index Tiles (2012),"Index Tiles ONLY, for actual orthophotos see layer Auckland 0.075m Urban Aerial Photos (2012)[http://data.linz.govt.nz/layer/1867].","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3558,
Land Information New Zealand,Nelson 0.5m Rural Aerial Photos (2008 – 2009),Orthophotography for the Nelson region taken in the flying season (summer period) of 2008-2009.,"['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3582,
Land Information New Zealand,Wellington 0.1m Urban Aerial Photos (2012-2013),Orthophotography for the Wellington City Council taken during 2012 and 2013.,"['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3606,
Land Information New Zealand,"Cook Islands Lagoon Polygons (Topo, 1:50k, Zone4)","A sheet of salt water separated from the open sea by sand, shingle banks or a road embankment.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3774,
Land Information New Zealand,"Cook Islands Embankment Centrelines (Topo, 1:25k, Zone3)",An artificial bank of earth and or stone built above the natural surface Data Dictionary for embankment_cl: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-embankment_cl] This layer is a component of the Topo50 map series.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3798,
Land Information New Zealand,"Niue Landfill Polygons (Topo, 1:50k)","A portion of land on which refuse, solid or semi-solid waste, is dumped and then covered with earth.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3822,
Land Information New Zealand,"Tokelau Road Centrelines (Topo, 1:25k)",Any formed all weather route suitable for the passage of any vehicle.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3846,
Land Information New Zealand,"Cook Islands Island Polygons (Topo, 1:25k, Zone4)",Area of dry or relatively dry land surrounded by water or low wetland Data Dictionary for island_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-island_poly] This layer is a component of the Topo50 map series.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3894,
Land Information New Zealand,"Cook Islands Swamp Polygons (Topo, 1:25k, Zone4)","A wet or moist region with water standing on or just below the surface of the ground, and usually covered by a growth of vegetation Data Dictionary for swamp_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-swamp_poly] This layer is a component of the Topo50 map series.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3918,
Land Information New Zealand,NZ Chatham Is Topo250 Gridless Maps,"The Topo250 map series provides topographic mapping for the New Zealand mainland, the Chatham Islands at 1:250,000 scale.","['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3942,
Ministry for the Environment (MfE),River Environment Classification Southland (2010),The New Zealand River Environment Classification (REC) organises information about the physical characteristics of New Zealand's rivers.,"['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/4134,
Ministry for the Environment (MfE),Vehicle Kilometres Travelled,Source: Ministry of Transport.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4182,
Land Information New Zealand,Pacific Ocean Small Scale Charts,"This dataset is a collection of individual hydrographic charts for the Pacific Ocean Small Scale series, and has been designed to provide a quick way to group, view and/or download charts within this region.","['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4206,
New Zealand Defence Force,SW Pacific Structural Pile Points,"Show a long pile (for example: a heavy timber or section of steel, wood, or concrete) forced into the earth that may serve as a support (for example: for a pier) or as a free standing pole within a marine environment.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4230,
New Zealand Defence Force,SW Pacific Beach Areas,"Show on a shore, the area on which the waves break and over which shore debris (for example: sand, shingle, and/or pebbles) accumulate.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4254,
New Zealand Defence Force,SW Pacific Storage Tank Points,Show a container used for the storage of liquids and/or gases that is not supported by a tower.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4278,
New Zealand Defence Force,SW Pacific Cart Track Lines,Show an unimproved road.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4302,
New Zealand Defence Force,SW Pacific Berthing Structure Lines,Show a structure primarily used as a berthing place for vessels.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4326,
New Zealand Defence Force,SW Pacific Volcano Areas,"Show a hill or mountain situated over an opening or openings in the Earth's crust through which lava, cinders, steam, and/or gases, are or have been expelled.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4350,
Canterbury Regional Council,Ashburton Liquefaction Susceptibility 2002,This dataset delineates zones of liquefaction susceptibility.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4374,
Canterbury Regional Council,Canterbury Land Use Recovery - LURP Greater Christchurch Urban Boundary,Greater Christchurch Urban Boundary as defined in the Land Use Recovery Plan.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4422,
Canterbury Regional Council,Wells and Bores,Service contains information related to wells and bores.,"['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/4446,
Canterbury Regional Council,Clean_Air_Zones,Contains Clean Air Zones 1 and 2 in Canterbury as defined by the Ministry for the Environment (MfE) and Environment Canterbury.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4470,
Canterbury Regional Council,NRRP Depth To Groundwater 6m,Shows areas where the average depth beneath surface level to the top of the water table is greater than 6 metres.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4518,
Canterbury Regional Council,New Zealand Defence Force Weapons Range/Danger Area NZD 820,New Zealand Defence Force Weapons Range/Danger Area NZD 820 as shown in map 9.1 in the Canterbury Regional Coastal Environment Plan (RCEP) 2005.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4566,
Land Information New Zealand,"Cook Islands Terrain Relief (Topo, 1:25k, Zone4)","In addition to contour lines, relief shading helps visualise the terrain.","['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4662,
Canterbury Regional Council,Halswell/Ellesmere DTM 2008,Halswell/Ellesmere DTM 2008.,"['API', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4686,
Ministry for the Environment (MfE),Bycatch of protected species - Hector’s and M??ui’s dolphin entanglements (1921–2008),The Hector’s and M??ui’s dolphins are subspecies of the small dolphin Cephalorhynchus hectori.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4782,
Ministry for the Environment (MfE),Annual glacier ice volumes (1978–2014),"A glacier is a body of slow-moving ice, at least one hectare in area that has persisted for two decades or longer.","['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4806,
Ministry for the Environment (MfE),Estimated fish and invertebrate bycatch in deep-water fisheries by year (1991–2012),"The unintended catch of marine species other than the target species puts pressure on the populations of marine species by removing individuals or potentially modifying ecosystems. This dataset relates to the ""Bycatch of fish and invertebrates"" measure on the Environmental Indicators, Te taiao Aotearoa website.","['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4830,
Ministry for the Environment (MfE),Influenza hospital discharges (2000–13),Influenza is a potentially life-threatening virus that spreads quickly from person to person.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4854,
Ministry for the Environment (MfE),PM2.5 concentrations 2008–13,PM2.5 are particles 2.5 micrometres or less in diameter.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4878,
Ministry for the Environment (MfE),National PM10 exceedances 2006–13,Particulate matter 10 micrometres or less in diameter (PM10) in the air comprises solid particles and liquid droplets from both natural and human-made sources.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4902,
Ministry for the Environment (MfE),Recruitment of indigenous tree sp mountain horopito 2002–2014,"""The rates of establishment (recruitment) of indigenous tree species vary across New Zealand.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5070,
Ministry for the Environment (MfE),Recruitment of indigenous tree sp k??mahi 2002–2014,"""The rates of establishment (recruitment) of indigenous tree species vary across New Zealand.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5094,
Ministry for the Environment (MfE),Freshwater pests: Tench,"""Freshwater plant and animal pests can have significant negative impacts on ecosystem health by reducing indigenous biodiversity through predation and competition, and destabilising aquatic habitats.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5118,
Ministry for the Environment (MfE),"Dissolved Reactive phosphorus, 2009–2013","""Phosphorus is an essential nutrient for plant and animal life.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5142,
Ministry for the Environment (MfE),Freshwater pests: Parrots feather,"""Freshwater plant and animal pests can have significant negative impacts on ecosystem health by reducing indigenous biodiversity through predation and competition, and destabilising aquatic habitats.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5166,
Ministry for the Environment (MfE),"Lightning strike density, 2000–14","Lightning is the discharge of electricity, from thunderstorms, that equalises areas of positive and negative charge, for example, between a storm cloud and the ground.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5190,
Ministry for the Environment (MfE),"Annual average sea surface temperature, 2012",The ocean waters surrounding New Zealand vary in temperature from north to south.,"['KML', 'Other Geo']",https://data.govt.nz/dataset/show/5214,
Ministry for the Environment (MfE),"Annual rainfall Units: percentage of normal, 1995",Annual rainfall is the total accumulated rain over one year.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5238,
Ministry for the Environment (MfE),Units: percentage of normal sunshine hours 1975,"""Sunshine is important for our health and recreation, and for the environment.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5262,
Ministry for the Environment (MfE),Units: percentage of normal sunshine hours 2003,"""Sunshine is important for our health and recreation, and for the environment.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5286,
Ministry for the Environment (MfE),"Annual rainfall, 1987","""Annual rainfall is the total accumulated rain over one year.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5310,
Ministry for the Environment (MfE),"Annual rainfall, 2011","""Annual rainfall is the total accumulated rain over one year.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5334,
Ministry for the Environment (MfE),"Annual sea surface temperature difference from normal, 2006",The ocean waters surrounding New Zealand vary in temperature from north to south.,"['KML', 'Other Geo']",https://data.govt.nz/dataset/show/5358,
Ministry for the Environment (MfE),Sunshine hours 1997,"""Sunshine is important for our health and recreation, and for the environment.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5382,
Ministry for the Environment (MfE),"Growing season soil moisture deficit, 1973-1974",Soil moisture is important for plant growth.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5406,
Ministry for the Environment (MfE),"Growing season soil moisture deficit, 2000-2001",Soil moisture is important for plant growth.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5430,
Ministry for the Environment (MfE),Standardised soil moisture deficit 2003-2004,Soil moisture is important for plant growth.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5454,
Ministry for the Environment (MfE),Standardised soil moisture deficit 1979-1980,"""Soil moisture is important for plant growth.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5478,
Ministry for the Environment (MfE),Petroleum Block Offer Proposed Release,The location and extent of areas opened to tender for petroleum exploration permits for Block Offer 2015 in the territorial...,"['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5502,
